Entidad,APICULTORES,ASOCIACIONES_APICOLAS,OTRAS_ORGANIZACIONES, ACOPIADORES_DE_MIEL,EXPORTADORES,CRIADORES_DE_ABEJAS_REINA,CRIADORES_DE_ABEJAS_REINA_PROGENITORAS,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS,ABEJAS_REINA_PRODUCIDAS_CERTIFICADAS,ABEJAS_REINA_PRODUCIDAS_NO_CERTIFICADAS,NUCLEOS_PRODUCIDOS,MIEL_ORGANICA_Ton,cera_ton_2018,JALEA_REAL_kg,POLEN_kg,PROPOLEOS_kg,COLMENAS_PARA_POLINIZACION
Aguascalientes,210,2,4,1,1,1,0,4,4000,5000,3000,0,0,0,0,100,0
Baja California,203,2,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,3600
Baja California Sur,89,2,0,0,0,0,0,0,0,0,220,0,9.3,0,0,0,150
Campeche,6810,56,0,150,5,4,0,10,1200,1100,4400,211,83.5,10,10,10,0
Coahuila,56,3,0,0,0,1,0,1,0,7,157,0,8,0,227,57,2779
Colima,110,3,0,1,0,1,0,1,4000,1000,1500,0,19.7,100,5000,500,10000
Chiapas,4778,41,24,0,0,0,0,0,0,0,0,1667,136.6,0,0,0,0
Chihuahua,288,10,0,3,1,1,1,8,15000,3500,12000,0,2.8,0,0,0,26000
Ciudad de México,153,4,0,2,0,1,0,0,0,120,0,0,0,50,208,518,0
Durango,185,0,0,0,0,0,0,2,0,0,1500,0,24.5,0,0,0,400
Guanajuato,550,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,1353,9,17,0,0,5,0,8,0,6000,10000,0,76.6,95,1950,820,0
Hidalgo,875,43,0,3,1,1,0,0,0,4500,0,0,50.2,0,40,6,0
Jalisco,1100,26,1,5,5,1,0,1,4500,90000,6000,100,199,20,2000,600,5000
Estado de México,368,19,1,1,1,1,0,1,2000,3500,210,0,28.4,23,250,0,0
Michoacán,1125,12,0,14,2,3,0,4,43000,0,7500,0,66.9,15,2100,2000,34000
Morelos,496,20,0,67,4,6,2,5,49275,5327,11989,545,0,637,3345,671,12557
Nayarit,178,8,0,1,0,1,0,1,24000,0,1600,0,7.6,0,200,0,1500
Nuevo León,132,3,1,3,2,3,0,0,0,14400,500,0,4.4,0,0,0,1500
Oaxaca,3852,2,30,3,1,5,0,4,0,3000,4000,510,148.3,40,260,900,0
Puebla,1200,23,3,0,0,1,0,1,9500,15000,7500,0,72.5,12,3200,500,0
Querétaro,207,4,0,7,0,0,0,0,0,0,0,0,2.8,0,0,0,0
Quintana Roo,3520,11,9,0,1,0,0,0,0,0,0,381,96.1,0,0,0,0
San Luis Potosi,1115,8,3,2,2,1,0,1,3000,2000,2000,0,37.9,0,0,0,4000
Sinaloa,287,6,4,0,0,2,0,3,16000,0,13500,0,1.1,0,0,0,15360
Sonora,230,3,0,5,7,0,0,1,0,0,1500,0,0,3,280,150,400
Tabasco,482,11,0,4,0,1,0,0,0,450,0,0,11.7,0,0,0,220
Tamaulipas,450,10,0,4,2,0,0,1,0,0,800,0,28.9,0,1000,0,8000
Tlaxcala,350,7,5,0,0,6,0,5,0,6,0,0,32.8,10,3800,280,0
Veracruz,1276,44,0,25,5,3,1,2,35000,11500,4000,116,192.4,25,350,150,0
Yucatán,10500,80,0,150,8,0,0,0,0,0,0,150,258.8,10,3000,900,0
Zacatecas,950,17,8,0,0,0,0,1,0,0,1300,62,81.6,0,0,10,0
